row_id,page,hanzi,wupin,alt_wupin,note,legacy_ipa_ocr,has_wupin,source
r00923,155,水芭蕉,sy335po55ciau52,sy3;se3,美人蕉,kipotŋ,True,result_all_converted.xlsx
r00924,155,鸡冠花,ci33kuoen55huo52,kuoen1;kuoen5,,tɕikuøhuo,True,result_all_converted.xlsx
r00925,155,兰花,laen11huo52,,,tlæ̃huo,True,result_all_converted.xlsx
r00926,155,万年青,maen11gnien11chin11,maen6;vaen6,,vnitɕʰiŋ,True,result_all_converted.xlsx
r00927,155,水仙花,sy335shien55huo52,sy3;se3,,kllsɕiẽhuo,True,result_all_converted.xlsx
r00928,155,茉莉花,meq1li55huo52,,,imʔlihuo,True,result_all_converted.xlsx
r00929,155,子花,tsy335huo52,tsy3;tseq7,,,True,result_all_converted.xlsx
r00930,155,茶花,dzo11huo52,,山茶,dzohuol,True,result_all_converted.xlsx
r00931,155,映山红,ian335saen55won52,in5;lt4;in5,杜鹃花,llklliŋsæ̃ɦuoŋti,True,result_all_converted.xlsx
r00932,155,夜姣姣,ya11ciau11ciau11,,夜间开花的紫茉莉,tɦiatɕiɒtɕiɒii,True,result_all_converted.xlsx
r00933,155,向日葵,shian33gni33kue33,gni6;zeq8;zeq8;gniq8kue1;gue2,,llɕiaŋzʔɡu,True,result_all_converted.xlsx
r00934,156,第六章,di11loq1tsaon11,,绍兴方言分类词汇上,,True,result_all_converted.xlsx
r00935,156,怕痒花,pho33yan33huo33,,含差草,tfpʰoɦiaŋhuoi,True,result_all_converted.xlsx
r00936,156,拉拉藤,iha33iha55deon52,laeq8laeq8,一种带细刺的藤类植物可入药,tlaladəŋtn,True,result_all_converted.xlsx
r00937,156,草,tshau335,,,uẽtsʰɒkti,True,result_all_converted.xlsx
r00938,156,青草,chin33tshau55,,,ltiŋtsʰɒ,True,result_all_converted.xlsx
r00939,156,茅草,mau11tshau55,,,timtʰti,True,result_all_converted.xlsx
r00940,156,艾,nge11,,,ŋ,True,result_all_converted.xlsx
r00941,156,木贼草,moq1zhiq5tshau52,dzeoq8;dzeoq8;zeoq8,,,True,result_all_converted.xlsx
r00942,156,草,tshau335,,,uẽtsʰɒkti,True,result_all_converted.xlsx
r00943,156,鱼腥草,yu11shin55tshau52,ng2,,tŋʔɕiŋtsʰɒ,True,result_all_converted.xlsx
r00944,156,薄荷,bo11wu11,ooo;oooo5;wu2;ho5;11o5;gho2;gho6;gho6,,boho,True,result_all_converted.xlsx
r00945,156,酸妹妹,soen33mhe55mhe52,mhe5;me6mhe5;me6,酱草,tksmlit,True,result_all_converted.xlsx
r00946,156,臭婆娘,tsheu33bo33gnian33,mo2,株植有臭味籽实带细毛容易粘人,tsʰboniaŋttltʔs,True,result_all_converted.xlsx
r00947,156,衣裤,i33khu55,,,,True,result_all_converted.xlsx
r00948,156,官司草,kuoen33sy55tshau52,,车前,lkuøstsʰɒ,True,result_all_converted.xlsx
r00949,156,瓦雷草,ngo115le55tshau52,,瓦松,lŋoliɤtsʰɒl,True,result_all_converted.xlsx
r00950,156,酸板苋,soen33paen55haen52,haen5;shien5,马齿苋,ysø̃phti,True,result_all_converted.xlsx
r00951,156,辣蓼草,laeq1liau55tshau52,,,lʔliɒtsʰɒ,True,result_all_converted.xlsx
r00952,156,奶子草,na115tsy55tshau52,na4;nha5tsy3;tseq7,,nattsʰɒi,True,result_all_converted.xlsx
r00953,156,蒲公英,bu11kuon55in52,bu2;bu2,,,True,result_all_converted.xlsx
r00954,156,槿杞柳,cin335chi55lieu52,lieu4,木槿,ltɕiŋtʰiliɤ,True,result_all_converted.xlsx
r00955,156,白毛夏枯草,baq1mhau55gho55khu55tshau52,mhau1;mau2,筋骨草,aʔmɦolkʰuitʰt,True,result_all_converted.xlsx
r00956,156,黄狗尾巴,huaon33keu55mi55po52,waon2mi4;vi4po1;bo2,狗尾巴草,iilɦuɒŋkɤmilpoi,True,result_all_converted.xlsx
r00957,156,草子,tshau335tsy52,tsy3;tseq7,紫云英,tsʰɒtsk,True,result_all_converted.xlsx
r00958,156,草头,tshau335deu52,,,ltsʰɒd,True,result_all_converted.xlsx
r00959,156,芦苇,lu11we52,,,iluɦu,True,result_all_converted.xlsx
r00960,156,荷叶,wu11yiq5,o5;wu2;ho5;11o5;gho2;gho6;gho6,,lɦoɦiʔ,True,result_all_converted.xlsx
r00961,156,菖蒲,tshaon33bu52,bu2;bu2,,tsʰɒŋbus,True,result_all_converted.xlsx
r00962,156,草,tshau335,,,uẽtsʰɒkti,True,result_all_converted.xlsx
r00963,156,指各种水草,tsy335koq5tson55sy55tshau52,tson3;tson5sy3;se3,,,True,result_all_converted.xlsx
r00964,156,青苔,chin33the52,de2,湿地上的苔类,ptɕʰiŋdlt,True,result_all_converted.xlsx
r00965,156,绿湖苔,loq1wu55the52,de2,,kloʔɦudk,True,result_all_converted.xlsx
r00966,157,漂,phiau52,phiau1;phiau1;phiau1;phiau3,浮萍,,True,result_all_converted.xlsx
r00967,157,活芦菩,weq1lu55bu52,wog8;woeq8;woq8;woq8,水浮莲,ɦʔlubu,True,result_all_converted.xlsx
r00968,157,花瓣,huo33phaen55,phaen5;baen6,,huobæ̃,True,result_all_converted.xlsx
r00969,157,蕊头,gniu115deu52,gniu4;dze6;ze6;ze6,花苞,nyd,True,result_all_converted.xlsx
r00970,157,花心,huo33shin52,,花蕊,huoiŋ,True,result_all_converted.xlsx
r00971,157,根头,keon33deu52,,根儿,ttkəŋdɤl,True,result_all_converted.xlsx
r00972,157,根子,keon33tsy55,tsy3;tseq7,,fkəŋts,True,result_all_converted.xlsx
r00973,157,菩头,bu11deu52,,植物靠近根部的部分,bdil,True,result_all_converted.xlsx
r00974,157,蒂头,ti33deu33,,花或瓜果和茎枝相连的部分,tidɤikl,True,result_all_converted.xlsx
r00975,157,芽头,ngo11deu52,,芽儿,ŋoʔdɤll,True,result_all_converted.xlsx
r00976,157,脑头,nau115deu52,,,nɒdɤtl,True,result_all_converted.xlsx
r00977,157,嫩头,noen11deu11,,,ŋd,True,result_all_converted.xlsx
r00978,157,老头,lau115deu52,lau4;lau6,,llɒdɤtlllt,True,result_all_converted.xlsx
r00979,157,要讨添,iau33thau55thien52,tau1;iau5thau5;thau5,,,True,result_all_converted.xlsx
r00980,157,秧,ian52,,苗,fkiaŋ,True,result_all_converted.xlsx
r00981,157,梗子,kuaon335tsy52,kuaon3;keon3tsy3;tseq7,枝茎,tifkuaŋts,True,result_all_converted.xlsx
r00982,157,叶瓣,yiq1phaen55,phaen5;baen6,叶子,lɦiʔbæ̃ɦiʔpʰll,True,result_all_converted.xlsx
r00983,157,叶片,yiq1phien55,,,lttɦiʔpʰiẽ,True,result_all_converted.xlsx
r00984,157,皮,bi231,,,kbi,True,result_all_converted.xlsx
r00985,157,子,tsy335,tsy3;tseq7,,fts,True,result_all_converted.xlsx
r00986,157,核,gheq23,gheq8;gheq8;gheq8;gheq8;gnēq8;weq8;weq8;gheoq8;gheoq8;gheoq8;gneoq8;gheoq8;woeq8,,tɦuʔ,True,result_all_converted.xlsx
r00987,157,农作,non11tseq5,tsog7;tsoq7;tsoq7,庄稼,noŋtsoʔt,True,result_all_converted.xlsx
r00988,157,气化,chi33huo33,,农事收获物,tɕʰihuok,True,result_all_converted.xlsx
r00989,157,年成,gnien11dzeon52,dzeon4;dzeon4,,ŋiẽdzəŋlftk,True,result_all_converted.xlsx
r00990,157,收成,seu33dzeon52,dzeon4;dzeon4,,fsdzəŋɤk,True,result_all_converted.xlsx
r00991,157,粮食作物,lian11zeoq5tseq5veq54,tsog7;tsoq7;tsoq7,所指不尽相同通常包括稻麦黍,,True,result_all_converted.xlsx
r00992,157,五谷,wu115kuoq54,ng4gbon6;gbon6;gbon6,,ŋkuoʔtttftflt,True,result_all_converted.xlsx
r00993,157,粟,soq45,,豆等,,True,result_all_converted.xlsx
r00994,158,第六章,di11loq1tsaon11,,绍兴方言分类词汇上,,True,result_all_converted.xlsx
r00995,158,杂粮,dzeoq1lian52,boaz,指稻麦以外的粮食作物如玉米高梁薯,dzəʔliaŋsl,True,result_all_converted.xlsx
r00996,158,类,le11,,豆类等,i,True,result_all_converted.xlsx
r00997,158,稻,dau113,,,is,True,result_all_converted.xlsx
r00998,158,水稻,sy335dau52,sy3;se3,,kfsdɒ,True,result_all_converted.xlsx
r00999,158,早稻,tsau335dau52,,,tsdɒ,True,result_all_converted.xlsx
r01000,158,晚稻,maen115dau52,maen4;vaen4,,limæ̃dɒl,True,result_all_converted.xlsx
r01001,158,粳稻,kan33dau55,,,,True,result_all_converted.xlsx
r01002,158,糯稻,no11dau11,,,tnodɒ,True,result_all_converted.xlsx
r01003,158,秧苗,ian33miau52,,,kiiaŋmiɒ,True,result_all_converted.xlsx
r01004,158,稻穗头,dau115dzy55deu52,uzy6;zy6;zy6;dze6,稻穗,kdddɤff,True,result_all_converted.xlsx
r01005,158,稻蓬,dau115bon52,,稻垛,fitdɒboŋftk,True,result_all_converted.xlsx
r01006,158,谷,kuoq45,gbon6;gbon6;gbon6,指稻谷,iʔkuoʔ,True,result_all_converted.xlsx
r01007,158,谷,kuoq45,gbon6;gbon6;gbon6,瘪的稻谷,iʔkuoʔ,True,result_all_converted.xlsx
r01008,158,篆谷,dzeen115kuoq54,dzeen4;dzoen4gbon6;gbon6;gbon6,半饱满的稻谷,dzẽkuoʔf,True,result_all_converted.xlsx
r01009,158,稗草,bo11tshau11,,稗子,flbotsʰɒff,True,result_all_converted.xlsx
r01010,158,麦,maq23,,指小麦,maʔtv,True,result_all_converted.xlsx
r01011,158,大麦,da11maq1,do6,,kdomaʔi,True,result_all_converted.xlsx
r01012,158,荞麦,jia11maq5,jiau2;jiau2,,dʑiaimaʔ,True,result_all_converted.xlsx
r01013,158,米麦,mi115maq54,,一种小麦不能磨粉只能碾碎后蒸煮食用,kimaʔt,True,result_all_converted.xlsx
r01014,158,麦穗头,maq1dzy55deu52,uzy6;zy6;zy6;dze6,麦穗,maʔdzd,True,result_all_converted.xlsx
r01015,158,二粟,gni11soq1,16;ghi6;i6,指玉米株植,tŋisoʔkkti,True,result_all_converted.xlsx
r01016,158,二粟部,gni11soq1bu11,16;ghi6;i6gnq,玉米棒子,nisoʔbulf,True,result_all_converted.xlsx
r01017,158,六谷,loq1kuoq5,gbon6;gbon6;gbon6,玉米粒,loʔkuoʔkkii,True,result_all_converted.xlsx
r01018,158,打粟,to335soq54,to3;tan3,高梁,,True,result_all_converted.xlsx
r01019,158,芦称,lu11tsheon52,tsheon5,,,True,result_all_converted.xlsx
r01020,158,黄豆,huaon33deu55,waon2,大豆,iɦuɒŋd,True,result_all_converted.xlsx
r01021,158,白豆,baq1deu55,,快成熟的黄豆青黄色可做豆腐或榨油,baʔdɤtktif,True,result_all_converted.xlsx
r01022,158,毛豆,mhau33deu55,mhau1;mau2,青嫩时的黄豆豆荚上长毛豆粒可作菜肴,mŋdɤli,True,result_all_converted.xlsx
r01023,158,绿豆,loq1deu55,,,kloʔd,True,result_all_converted.xlsx
r01024,158,赤豆,tsheq3deu55,lsheg7;tsheoq7,红豆,tsʰʔdlf,True,result_all_converted.xlsx
r01025,159,苎麻,dzy115mo52,mo2;mo2;mo2;mo2,一种较的麻可作麻线,,True,result_all_converted.xlsx
