row_id,page,hanzi,wupin,alt_wupin,note,legacy_ipa_ocr,has_wupin,source,ipa_from_wupin,ipa_conversion_status,ipa_label_source
r00041,124,霹雳雷,phiq3liq5le52,,霹雳,,True,result_all_converted.xlsx,pʰiʔ³liʔ⁵lᴇ⁵²,ok,rule_from_trusted_wupin
r00042,124,沉雷,dzeen11le11,dzeen6;dzeen6,雷,idzẽl,True,result_all_converted.xlsx,dzẽ¹¹lᴇ¹¹,ok,rule_from_trusted_wupin
r00043,124,响雷,shian335le52,,,lŋlɕiaŋl,True,result_all_converted.xlsx,ɕiaŋ³³⁵lᴇ⁵²,ok,rule_from_trusted_wupin
r00044,124,霍闪,huoq3seen55,huaq7;huaeq7;hoq7;hoq7;bonyseen3;soen3,闪电,lhuoʔsẽhuasẽl,True,result_all_converted.xlsx,huoʔ³sẽ⁵⁵,ok,rule_from_trusted_wupin
r00045,124,霍闪娘娘,huoq3seen55gnian55gnian52,huaq7;huaeq7;hoq7;hoq7;bonyseen3;soen3,闪电的拟人称呼,huoʔsniaŋŋiaŋhuaʔsẽniaŋniaŋtl,True,result_all_converted.xlsx,huoʔ³sẽ⁵⁵ȵiaŋ⁵⁵ȵiaŋ⁵²,ok,rule_from_trusted_wupin
r00046,124,鲎,heu33,,虹,,True,result_all_converted.xlsx,hə³³,ok,rule_from_trusted_wupin
r00047,124,雨,yu113,,,lɦy,True,result_all_converted.xlsx,ɦy¹¹³,ok,rule_from_trusted_wupin
r00048,124,大雨,do11yu11,do6,,idoɦy,True,result_all_converted.xlsx,dɒ¹¹ɦy¹¹,ok,rule_from_trusted_wupin
r00049,124,呆大雨,nge11do55yu52,te1;nge2do6,,lŋdolɦy,True,result_all_converted.xlsx,ŋᴇ¹¹dɒ⁵⁵ɦy⁵²,ok,rule_from_trusted_wupin
r00050,124,阵头,dzeen11deu11,,雷阵雨,fdzdɤɦy,True,result_all_converted.xlsx,dzẽ¹¹də¹¹,ok,rule_from_trusted_wupin
r00051,124,赶狗阵,keen335keu55dzeen52,,持续时间短的雷阵雨,ttkẽkdzẽll,True,result_all_converted.xlsx,kẽ³³⁵kə⁵⁵dzẽ⁵²,ok,rule_from_trusted_wupin
r00052,124,时雨,zy11yu55,,连阴雨,lziɦykil,True,result_all_converted.xlsx,zɿ¹¹ɦy⁵⁵,ok,rule_from_trusted_wupin
r00053,125,毛稍雨,mau11sau55yu52,mhau1;mau2,细雨,flmɒsɒɦyl,True,result_all_converted.xlsx,mɤ¹¹sɤ⁵⁵ɦy⁵²,ok,rule_from_trusted_wupin
r00054,125,磨碎雨,mo11se55yu52,mo2;mo2;mo2;mo6,细雨,lmosɦy,True,result_all_converted.xlsx,mɒ¹¹sᴇ⁵⁵ɦy⁵²,ok,rule_from_trusted_wupin
r00055,125,雨毛丝,yu115mau55sy52,mhau1;mau2,毛毛雨,ɦymɒsi,True,result_all_converted.xlsx,ɦy¹¹⁵mɤ⁵⁵sɿ⁵²,ok,rule_from_trusted_wupin
r00056,125,雨点,yu115tien52,,,lɦytiẽ,True,result_all_converted.xlsx,ɦy¹¹⁵tiẽ⁵²,ok,rule_from_trusted_wupin
r00057,125,雨脚,yu115ciaq54,,指雨滴下垂成线状：~唔有断过天一时还𣍐晴唻。,iɦylltɕiaʔklkfis,True,result_all_converted.xlsx,ɦy¹¹⁵tɕiaʔ⁵⁴,ok,rule_from_trusted_wupin
r00058,125,雾露,wu11lu11,,雾,ɦulu,True,result_all_converted.xlsx,ɦu¹¹lu¹¹,ok,rule_from_trusted_wupin
r00059,125,雾气,wu11chi11,,,ɦutɕʰi,True,result_all_converted.xlsx,ɦu¹¹tɕʰi¹¹,ok,rule_from_trusted_wupin
r00060,125,露水,lu11sy11,sy3;se3,,kklus,True,result_all_converted.xlsx,lu¹¹sɿ¹¹,ok,rule_from_trusted_wupin
r00061,125,霜,saon52,,,isɒŋ,True,result_all_converted.xlsx,sɒŋ⁵²,ok,rule_from_trusted_wupin
r00062,125,冰,pin52,,,ipiŋboʔpiŋbɒk,True,result_all_converted.xlsx,piŋ⁵²,ok,rule_from_trusted_wupin
r00063,125,蟹壳冰,ha335khoq5pin52,,薄冰,hakʰoʔpiŋilik,True,result_all_converted.xlsx,ha³³⁵kʰoʔ⁵piŋ⁵²,ok,rule_from_trusted_wupin
r00064,125,葱管糖,tshon33kuoen55daon52,,指屋檐下的冰溜子,ltsʰoŋkudɒŋttsʰŋkuødɒŋtfk,True,result_all_converted.xlsx,tsʰoŋ³³kuø̃⁵⁵dɒŋ⁵²,ok,rule_from_trusted_wupin
r00065,125,雪,shiq45,,,iiʔ,True,result_all_converted.xlsx,ɕiʔ⁴⁵,ok,rule_from_trusted_wupin
r00066,125,雪子,shiq3tsy55,tsy3;tseq7,霰,fɕiʔts,True,result_all_converted.xlsx,ɕiʔ³tsɿ⁵⁵,ok,rule_from_trusted_wupin
r00067,125,雪石子,shiq3zaq5tsy52,zaq8;zeoq8tsy3;tseq7,霰,iiɕiʔzaʔts,True,result_all_converted.xlsx,ɕiʔ³zaʔ⁵tsɿ⁵²,ok,rule_from_trusted_wupin
r00068,125,雹子,boq1tsy55,diē11tsy3;tseq7,,,True,result_all_converted.xlsx,boʔ¹tsɿ⁵⁵,ok,rule_from_trusted_wupin
r00069,125,冰雹,pin33boq5,gboq,,,True,result_all_converted.xlsx,piŋ³³boʔ⁵,ok,rule_from_trusted_wupin
r00070,125,天家,thien33ko52,ke1;ko1;ko1;ko1;cio1,天时天气,ʑtʰiẽkoi,True,result_all_converted.xlsx,tʰiẽ³³kɒ⁵²,ok,rule_from_trusted_wupin
r00071,125,晴天,jin11thien52,,,kdʑiŋtʰiẽ,True,result_all_converted.xlsx,dʑiŋ¹¹tʰiẽ⁵²,ok,rule_from_trusted_wupin
r00072,125,皎致晴天,ciau33tsy55jin55thien52,tsy5;tsy5;tsy5;tsy5,晴空万里的天气,ilktɕiɒttsdʑiŋktʰilll,True,result_all_converted.xlsx,tɕiɤ³³tsɿ⁵⁵dʑiŋ⁵⁵tʰiẽ⁵²,ok,rule_from_trusted_wupin
r00073,125,阴天,in33thien52,,,iŋtʰiẽ,True,result_all_converted.xlsx,iŋ³³tʰiẽ⁵²,ok,rule_from_trusted_wupin
r00074,125,阴叆天,in33a55thien52,,晴而多云的天气,,True,result_all_converted.xlsx,iŋ³³a⁵⁵tʰiẽ⁵²,ok,rule_from_trusted_wupin
r00075,125,落雨天,loq1yu55thien52,,雨天,tloʔɦytʰiẽl,True,result_all_converted.xlsx,loʔ¹ɦy⁵⁵tʰiẽ⁵²,ok,rule_from_trusted_wupin
r00076,125,梅雨,me11yu55,,农历五月黄梅季节的连阴雨,kmɦyfl,True,result_all_converted.xlsx,mᴇ¹¹ɦy⁵⁵,ok,rule_from_trusted_wupin
r00077,125,养花天,yan115huo55thien52,,指春后半晴半雨有利于棉花生长的天气,ɦiaŋhuotʰitltk,True,result_all_converted.xlsx,ɦaŋ¹¹⁵huɒ⁵⁵tʰiẽ⁵²,ok,rule_from_trusted_wupin
r00078,125,黄梅天,waon11me55thien52,waon2,指农历五月多雨的潮湿天气,ɦuɒŋmtʰiẽfik,True,result_all_converted.xlsx,ɦɒŋ¹¹mᴇ⁵⁵tʰiẽ⁵²,ok,rule_from_trusted_wupin
r00079,125,梅天,me11thien52,,指农历五月多雨的潮湿天气,mtʰiẽ,True,result_all_converted.xlsx,mᴇ¹¹tʰiẽ⁵²,ok,rule_from_trusted_wupin
r00080,125,雾天,wu11thien11,,,kftʰiẽ,True,result_all_converted.xlsx,ɦu¹¹tʰiẽ¹¹,ok,rule_from_trusted_wupin
r00081,126,黄沙天,waon11so55thien52,waon2,扬沙天气,ibɦuɒŋsotʰiẽlk,True,result_all_converted.xlsx,ɦɒŋ¹¹sɒ⁵⁵tʰiẽ⁵²,ok,rule_from_trusted_wupin
r00082,126,霉𪑳天,me11tseon55thien52,,指黄梅时节衣物潮湿易长霉渍的天气,,True,result_all_converted.xlsx,mᴇ¹¹tsəŋ⁵⁵tʰiẽ⁵²,ok,rule_from_trusted_wupin
r00083,126,返潮天,faen335dzau55thien52,,指黄梅时节石渗水墙壁发霉的天气,ifdtʰiitiktf,True,result_all_converted.xlsx,fæ̃³³⁵dzɤ⁵⁵tʰiẽ⁵²,ok,rule_from_trusted_wupin
r00084,126,潮煞天,dzau11saeq5thien52,,指黄梅时节石渗水墙壁发霉的天气,lkdzɒsʔtʰiẽ,True,result_all_converted.xlsx,dzɤ¹¹sæʔ⁵tʰiẽ⁵²,ok,rule_from_trusted_wupin
r00085,126,夏邋遢,gho11laeq1thaeq1,,指夏日人们多汗水，居所各处都显得不清洁的天气,,True,result_all_converted.xlsx,ɦɒ¹¹læʔ¹tʰæʔ¹,ok,rule_from_trusted_wupin
r00086,126,秋赖柴,chieu33la55za52,chieu1,指初秋时晴时雨的天气,kitiɤlazaklllllltti,True,result_all_converted.xlsx,tɕʰiə³³la⁵⁵za⁵²,ok,rule_from_trusted_wupin
r00087,126,秋老虎,chieu33lau55hu52,chieu1lau4;lau6,指立秋后仍然炎热的天气,fktiɤlɒhukfkklk,True,result_all_converted.xlsx,tɕʰiə³³lɤ⁵⁵hu⁵²,ok,rule_from_trusted_wupin
r00088,126,桂花𪑳,kue33huo33tseon33,,指农历八月桂花开放时虽已入秋仍然潮湿的天气,,True,result_all_converted.xlsx,kuᴇ³³huɒ³³tsəŋ³³,ok,rule_from_trusted_wupin
r00089,126,地皮,di11bi11,,土地,lkidibill,True,result_all_converted.xlsx,di¹¹bi¹¹,ok,rule_from_trusted_wupin
r00090,126,地界,di11ka11,cia5;cia5,地区,dika,True,result_all_converted.xlsx,di¹¹ka¹¹,ok,rule_from_trusted_wupin
r00091,126,水川埭,sy335tsheen55da52,sy3;se3tshoen1da6;da6;da6;da6,河网地带,,True,result_all_converted.xlsx,sɿ³³⁵tsʰẽ⁵⁵da⁵²,ok,rule_from_trusted_wupin
r00092,126,河头水脚,gho11deu55sy55cian52,sy3;se3,指有河湖荡池的地方。,lɦodɤstiaŋulltiaʔ,True,result_all_converted.xlsx,ɦɒ¹¹də⁵⁵sɿ⁵⁵tɕiaŋ⁵²,ok,rule_from_trusted_wupin
r00093,126,平地,bin11di55,,,lbiŋdi,True,result_all_converted.xlsx,biŋ¹¹di⁵⁵,ok,rule_from_trusted_wupin
