row_index,page,hanzi,wupin_original,wupin_canonical_source,ipa_from_wupin,wupin_back,issue_type,forward_status,backward_status
5201,301,唔有数咯,nh33yeu55su55koq54,nh33yeu55su55koq54,<nh33>ɦiɤ55su55koʔ54,nh33yeu55su55koq54,forward_error;backward_error,unknown_final:h:nh,unknown_ipa:<;unknown_ipa:>
5216,301,拎斗篮,ihin33teu55laen52,ihin33teu55laen52,<ihin33>tɤ55læ̃52,ihin33teu55laen52,forward_error;backward_error,unknown_final:ihin:ihin,unknown_ipa:<;unknown_ipa:>
5222,302,顺毛,zeen11mhau11,zeen11mhau11,zẽ11<mhau11>,zeen11mhau11,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
5275,304,肉,gnio11,gnio11,ȵiɒ11,gniau11,roundtrip_mismatch,ok,ok
5298,304,拉纤,iha33chien52,iha33chien52,<iha33>tɕʰiẽ52,iha33chien52,forward_error;backward_error,unknown_final:iha:iha,unknown_ipa:<;unknown_ipa:>
5299,304,骑马,ji11mha52,ji11mha52,dʑi11<mha52>,ji11mha52,forward_error;backward_error,unknown_final:ha:mha,unknown_ipa:<;unknown_ipa:>
5376,307,摸青盲,mhoq3chin55ban52,mhoq3chin55ban52,<mhoq3>tɕʰiŋ55baŋ52,mhoq3chin55ban52,forward_error;backward_error,unknown_final:hoq:mhoq,unknown_ipa:<;unknown_ipa:q;unknown_ipa:>
5425,309,肉痛,gnio11thon11,gnio11thon11,ȵiɒ11tʰoŋ11,gniau11thon11,roundtrip_mismatch,ok,ok
5499,311,唔有,nh33yeu55,nh33yeu55,<nh33>ɦiɤ55,nh33yeu55,forward_error;backward_error,unknown_final:h:nh,unknown_ipa:<;unknown_ipa:>
5532,313,眯花眼笑,mhi33huo55ngaen55shiau52,mhi33huo55ngaen55shiau52,<mhi33>huo55ŋæ̃55ɕiɒ52,mhi33huo55ngaen55shiau52,forward_error;backward_error,unknown_final:hi:mhi,unknown_ipa:<;unknown_ipa:>
5640,316,黏,gnhien52,gnhien52,<gnhien52>,gnhien52,forward_error;backward_error,unknown_final:hien:gnhien,unknown_ipa:<;unknown_ipa:g;unknown_ipa:e;unknown_ipa:>
5654,317,蛮,mhaen52,mhaen52,<mhaen52>,mhaen52,forward_error;backward_error,unknown_final:haen:mhaen,unknown_ipa:<;unknown_ipa:e;unknown_ipa:>
5749,320,蛮,mhaen52,mhaen52,<mhaen52>,mhaen52,forward_error;backward_error,unknown_final:haen:mhaen,unknown_ipa:<;unknown_ipa:e;unknown_ipa:>
5764,321,气闷,chi33mheen33,chi33mheen33,tɕʰi33<mheen33>,chi33mheen33,forward_error;backward_error,unknown_final:heen:mheen,unknown_ipa:<;unknown_ipa:e;unknown_ipa:e;unknown_ipa:>
5823,323,拉带,iha33ta55,iha33ta55,<iha33>ta55,iha33ta55,forward_error;backward_error,unknown_final:iha:iha,unknown_ipa:<;unknown_ipa:>
5859,324,毛躁,mhau33tshau55,mhau33tshau55,<mhau33>tsʰɒ55,mhau33tshau55,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
5902,326,闷,mheen52,mheen52,<mheen52>,mheen52,forward_error;backward_error,unknown_final:heen:mheen,unknown_ipa:<;unknown_ipa:e;unknown_ipa:e;unknown_ipa:>
5914,326,唔趣相,nh33chiu55shian52,nh33chiu55shian52,<nh33>tɕʰy55ɕiaŋ52,nh33chiu55shian52,forward_error;backward_error,unknown_final:h:nh,unknown_ipa:<;unknown_ipa:>
5924,326,小唧零零,shiau335ciq5ihin55ihin52,shiau335ciq5ihin55ihin52,ɕiɒ335tɕieʔ5<ihin55><ihin52>,shiau335ciq5ihin55ihin52,forward_error;backward_error,unknown_final:ihin:ihin;unknown_final:ihin:ihin,unknown_ipa:<;unknown_ipa:>;unknown_ipa:<;unknown_ipa:>
5934,327,寒毛凛凛,gheen11mhau55lin55lin52,gheen11mhau55lin55lin52,ɦẽ11<mhau55>liŋ55liŋ52,gheen11mhau55lin55lin52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
5980,328,零,ihin52,ihin52,<ihin52>,ihin52,forward_error;backward_error,unknown_final:ihin:ihin,unknown_ipa:<;unknown_ipa:>
6016,330,一百零一,iq3paq5ihin55iq54,iq3paq5ihin55iq54,ieʔ3paʔ5<ihin55>ieʔ54,iq3paq5ihin55iq54,forward_error;backward_error,unknown_final:ihin:ihin,unknown_ipa:<;unknown_ipa:>
6044,331,毛,mhau52,mhau52,<mhau52>,mhau52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
6066,331,末丫,mheq3ia52,mheq3ia52,<mheq3>ia52,mheq3ia52,forward_error;backward_error,unknown_final:heq:mheq,unknown_ipa:<;unknown_ipa:e;unknown_ipa:q;unknown_ipa:>
6067,331,末,mheq45,mheq45,<mheq45>,mheq45,forward_error;backward_error,unknown_final:heq:mheq,unknown_ipa:<;unknown_ipa:e;unknown_ipa:q;unknown_ipa:>
6068,332,埒尿末,laeq1shi55mheq54,laeq1shi55mheq54,læʔ1ɕi55<mheq54>,laeq1shi55mheq54,forward_error;backward_error,unknown_final:heq:mheq,unknown_ipa:<;unknown_ipa:e;unknown_ipa:q;unknown_ipa:>
6122,334,指黏状物,tsy335gnhien55dzaon55veq54,tsy335gnhien55dzaon55veq54,tsɿ335<gnhien55>dzɒŋ55veʔ54,tsy335gnhien55dzaon55veq54,forward_error;backward_error,unknown_final:hien:gnhien,unknown_ipa:<;unknown_ipa:g;unknown_ipa:e;unknown_ipa:>
6224,338,那些,nha33soeq5,nha33soeq5,<nha33>søʔ5,nha33soeq5,forward_error;backward_error,unknown_final:ha:nha,unknown_ipa:<;unknown_ipa:>
6229,338,那个人,nha33ko55zeen52,nha33ko55zeen52,<nha33>ko55zẽ52,nha33ko55zeen52,forward_error;backward_error,unknown_final:ha:nha,unknown_ipa:<;unknown_ipa:>
6240,338,那边,nha33pien52,nha33pien52,<nha33>piẽ52,nha33pien52,forward_error;backward_error,unknown_final:ha:nha,unknown_ipa:<;unknown_ipa:>
6305,341,蛮,mhaen52,mhaen52,<mhaen52>,mhaen52,forward_error;backward_error,unknown_final:haen:mhaen,unknown_ipa:<;unknown_ipa:e;unknown_ipa:>
6306,341,蛮蛮,mhaen33mhaen52,mhaen33mhaen52,<mhaen33><mhaen52>,mhaen33mhaen52,forward_error;backward_error,unknown_final:haen:mhaen;unknown_final:haen:mhaen,unknown_ipa:<;unknown_ipa:e;unknown_ipa:>;unknown_ipa:<;unknown_ipa:e;unknown_ipa:>
6325,341,毛,mhau52,mhau52,<mhau52>,mhau52,forward_error;backward_error,unknown_final:hau:mhau,unknown_ipa:<;unknown_ipa:>
6334,342,大约摸,da11iaq1mhoq1,da11iaq1mhoq1,da11iaʔ1<mhoq1>,da11iaq1mhoq1,forward_error;backward_error,unknown_final:hoq:mhoq,unknown_ipa:<;unknown_ipa:q;unknown_ipa:>
6425,345,大约摸,da11iaq1mhoq1,da11iaq1mhoq1,da11iaʔ1<mhoq1>,da11iaq1mhoq1,forward_error;backward_error,unknown_final:hoq:mhoq,unknown_ipa:<;unknown_ipa:q;unknown_ipa:>
6443,346,唔有,nh33yeu55,nh33yeu55,<nh33>ɦiɤ55,nh33yeu55,forward_error;backward_error,unknown_final:h:nh,unknown_ipa:<;unknown_ipa:>
6511,348,末,mheq45,mheq45,<mheq45>,mheq45,forward_error;backward_error,unknown_final:heq:mheq,unknown_ipa:<;unknown_ipa:e;unknown_ipa:q;unknown_ipa:>
6527,349,末,mheq45,mheq45,<mheq45>,mheq45,forward_error;backward_error,unknown_final:heq:mheq,unknown_ipa:<;unknown_ipa:e;unknown_ipa:q;unknown_ipa:>
6545,350,唔,nh52,nh52,<nh52>,nh52,forward_error;backward_error,unknown_final:h:nh,unknown_ipa:<;unknown_ipa:>
6546,350,唔高,nh33kau52,nh33kau52,<nh33>kɒ52,nh33kau52,forward_error;backward_error,unknown_final:h:nh,unknown_ipa:<;unknown_ipa:>
6556,350,唔,nh52,nh52,<nh52>,nh52,forward_error;backward_error,unknown_final:h:nh,unknown_ipa:<;unknown_ipa:>
6557,350,呶,nhau52,nhau52,<nhau52>,nhau52,forward_error;backward_error,unknown_final:hau:nhau,unknown_ipa:<;unknown_ipa:>
6558,350,呶,nhau52,nhau52,<nhau52>,nhau52,forward_error;backward_error,unknown_final:hau:nhau,unknown_ipa:<;unknown_ipa:>
6562,351,唔异议,nh33zhi55gni52,nh33zhi55gni52,<nh33>ʑi55ȵi52,nh33zhi55gni52,forward_error;backward_error,unknown_final:h:nh,unknown_ipa:<;unknown_ipa:>
